Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Income share held by third 20%,-1.0,-1.0,-1.0,-1.0,-1.0,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,11.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Individuals using the Internet (% of population),0.002998005,0.019534871,0.095476021,0.466590444,0.592652945,0.712332905,1.738201782,3.39174627,4.548854908,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16.0,19.7,23.4,28.80594156,34.50932609,37.9,41.5,44.40104984,47.51234167,50.84164945
"Industrial design applications, nonresident, by count",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,221.0,205.0,240.0,310.0,295.0,210.0,187.0,235.0,223.0,200.0,131.0,57.0
"Industrial design applications, resident, by count",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,35.0,25.0,25.0,65.0,20.0,205.0,10.0,35.0,5.0,6.0,35.0
"Industry (including construction), value added (% of GDP)",19.6615925421153,19.6854390723014,19.974251757491,19.9943682814931,20.1198731851264,19.7911162779183,27.3420734989877,27.1826895247297,27.4424966147734,27.8833550863791,27.5811372404814,28.269045356288,27.8843638206437,28.116816136255,27.5259745150329,27.4918265373292,27.9436212267543,28.1234371173336,22.9529484330494,23.1927165333151,22.7375109396278,22.6144411202747,21.9049097758764,21.426432384342,21.9422574352816,22.3333520354898,22.3425552842911
"Industry (including construction), value added (annual % growth)",5.37424478055308,3.49017265539064,6.52409886831249,6.27286975114825,4.17320236701333,-2.54242990884256,2.98020143358595,5.77715551255353,0.596185497288346,0.339768742504631,2.68560777547381,6.49312951245231,5.39257168473316,0.952688118912278,-2.84502542725434,0.279577168790141,4.2353211682949,1.43257436609474,3.35524418118376,7.19117535607852,2.91083963395677,1.74396979140559,1.8127799178598,2.57844180918616,4.24279580164031,-0.82714706960661,8.57776256587739
"Industry (including construction), value added (constant 2015 US$)",7912489749.71636,8188649303.32155,8722884879.84963,9270060086.9052,9656918453.87549,9411398070.83162,9691876691.05903,10251791479.5864,10312911173.6,10347951222.2101,10625856604.836,11315807235.9955,11926020252.9028,12039638030.9113,11697107267.5825,11729809708.9115,12226604822.5138,12401760029.0448,12817869360.7837,13739624823.4307,14139563268.3481,14386152980.3848,14646942272.5658,15024605155.889,15662068472.6561,15532520132.2447,16864862829.6858
"Industry (including construction), value added (constant LCU)",58996877900.0,61055970800.0,65039322700.0,69119154700.0,72003636900.0,70172994900.0,72264291500.0,76439112000.0,76894830900.0,77156095500.0,79228205600.0,84372595600.0,88922448300.0,89769601900.0,87215633900.0,87459468900.0,91163658300.0,92469645500.0,95572227900.0,102444994400.0,105427003900.0,107265619000.0,109210108600.0,112026027700.0,116779063300.0,115813128700.0,125747303900.0
"Industry (including construction), value added (current LCU)",16743162000.0,18795373500.0,21546900900.0,24797522200.0,27219566800.0,29635815800.0,39547338600.0,43467416400.0,47018780500.0,52241391100.0,56393191400.0,63926073700.0,71823519300.0,81845016000.0,83405657400.0,90107912800.0,101980050900.0,109259343400.0,95572226000.0,103747127000.0,108235741000.0,113524880000.0,115330974000.0,118138509300.0,130330869700.0,134020087900.0,148704884100.0
"Industry (including construction), value added (current US$)",2881485905.07004,3085660214.73601,3553424625.22882,3878006099.0867,3685641314.50313,3817494373.1025,5032368847.70594,5557285040.3365,5921089612.00871,6574141747.50733,7387163358.80902,8408414626.46287,9360181650.56409,10826020221.0891,10219334109.7377,11182734381.5058,13098853638.944,13947517573.3267,12164246983.5737,13417485867.2779,14139563268.3481,14937608035.435,15695690179.2462,15711652730.0571,16933348521.6647,17356405418.531,19226457749.469
"Industry (including construction), value added per worker (constant 2015 US$)",10028.8291036083,10159.3915355392,10482.9836761539,10760.1643463537,11046.8147665933,10627.834217787,10405.2914822413,10509.2628012921,10136.9045388628,11600.7429850332,10961.2546108916,10678.0598626111,10915.1216630851,10831.5464945956,10528.6341567074,10389.5903615331,11149.7714824064,10811.4998280873,12628.68381077,12154.0038040493,12583.4335113367,11112.027760013,12012.5411752212,12036.6824103618,12128.1663292007,-1.0,-1.0
"Inflation, consumer prices (annual %)",8.4114131227057,11.0569165321987,9.23290294884938,6.61346070518056,5.2136105860112,5.9775773473714,7.28587366610134,8.13263054281053,5.60347675434471,7.57862247309731,9.10864985719219,6.56085282795382,6.82161753590321,11.3557611263151,1.85910254733024,3.85950909833173,6.2141239306709,3.78180754679688,4.34337131279521,3.4183616966296,2.3887203283955,4.44844199942827,4.42453655182538,3.75186186704508,3.69998398008605,3.21444062197345,4.26105127422813
"Inflation, GDP deflator (annual %)",8.66781823897942,8.90000450953323,8.25733951685741,9.50243518490798,5.04155798311092,6.83011466821127,-5.61014528351383,6.4691750654456,4.47123467160999,6.02385881441585,5.66843562624204,4.98133297071131,7.11535054335639,9.4074918223814,3.60017527305328,5.13757298846622,6.89464340316468,3.37775084412593,3.35844634594847,2.86031160659735,2.23162145989066,2.70719129663175,1.7479141087134,1.27161217513023,3.56578287211866,2.87326020166152,2.69350246182233
"Inflation, GDP deflator: linked series (annual %)",8.66781823897942,8.90000450953323,8.25733951685741,9.50243518490798,5.04155798311092,6.83011466821127,7.59238433837891,6.4691750654456,4.47123467160999,6.02385881441585,5.66843562624204,4.98133297071131,7.11535054335639,9.4074918223814,3.60017527305328,5.13757298846622,6.89464340316468,3.37775084412593,3.35844634594847,2.86031160659735,2.23162145989066,2.70719129663175,1.7479141087134,1.27161217513023,3.56578287211866,2.87326020166152,2.69350246182233
Informal payments to public officials (% of firms),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.7,-1.0,-1.0,-1.0,6.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,-1.0,-1.0,-1.0
Insurance and financial services (% of commercial service exports),3.17300428103752,4.79143179255919,1.66998011928429,3.56977818853974,3.83634431455898,2.22739981360671,2.89794138566062,3.97849426569514,4.63018682632534,1.7836026803311,1.56377926969052,1.92880442490427,2.1861298091768,2.82023284420546,2.35256757002514,2.7431352083078,2.74095548250082,2.81027068955521,3.36100585286533,3.07477693248792,3.75803840366196,3.99687969973359,4.00905662427637,3.6864861478727,4.73141836484517,7.44922686109685,7.20796596731785
Insurance and financial services (% of commercial service imports),8.6542750929368,7.81886555938577,6.79859559527609,5.29574496113819,4.22535211267606,8.2059123343527,10.1813963891677,11.4284002909431,13.0889346226917,13.2860270249868,9.14053751399776,10.9200637667957,10.4115022310362,10.6081187638311,10.2438933076355,10.5879312466991,12.2543394775783,14.8352578071867,14.1470255813138,14.6734737445187,13.5421311994055,13.2291729018126,14.9427981373682,14.691730966877,13.9252953059974,16.8372155126299,13.3988134679455
"Insurance and financial services (% of service exports, BoP)",3.02739067755887,4.62459194776931,1.57303370786517,3.34090171910477,3.65680713128039,2.08133762953932,2.70254430108427,3.73087247076693,4.30449529577888,1.64485641584878,1.460467961462,1.79076963592073,2.04482439926063,2.63720454373184,2.23703436235495,2.62638809303685,2.61440070468415,2.68889878674017,3.23700974849791,2.94360334910741,3.61014116354336,3.85565445910865,3.88927823502964,3.58522714860644,4.62912691697677,7.22218142026623,7.04689937798119
"Insurance and financial services (% of service imports, BoP)",8.37410071942446,7.56289784783268,6.54880860876249,5.07703965647891,4.05969394207664,7.80984719864177,9.7760208698842,10.9158035955429,12.616427400387,13.09231570334,9.00938189845475,10.7849752586595,10.2880658436214,10.371731016682,9.96510764971977,10.2976711112125,11.9406169342267,14.5188373348123,13.8349840069374,14.3331428061302,13.2377432862433,12.9530490195775,14.64665004527,14.3948390256419,13.578705398844,16.4655382704648,13.081762659429
"Intentional homicides (per 100,000 people)",31.4577987839534,34.0378129158028,36.6608007551501,29.5957652125921,23.1604567346748,24.7445997722883,26.8960598021816,29.5446911664384,33.7058893464371,35.0672808225896,40.6462773324894,43.8772895734475,42.2075351292307,45.0089205935197,45.5699046755858,40.9815747252601,38.2985661430765,34.0751965223337,33.4248404531215,33.4293427280838,-1.0,-1.0,32.782983345581,28.8958414706126,25.6454661905273,18.9601645617879,19.9903643036608
"Intentional homicides, female (per 100,000 female)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.67970707712048,7.83116196226242,8.92370366555557,8.54783262097773,9.74926715525112,10.0145287166263,9.47614571203384,8.44690206525419,7.50788573679252,8.4045190096341,7.94526794974757,-1.0,-1.0,9.51323035181802,8.87762795425117,8.16562670750638,5.14579397804047,6.12944016786343
"Intentional homicides, male (per 100,000 male)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.8444347139179,73.9466306302132,79.367446559766,76.4025932432496,80.8479442012155,81.7272599521645,73.0345639368363,68.6806039730689,61.1232388966842,60.1874054418759,56.1115612939162,-1.0,-1.0,56.4944333376343,49.2951329204197,43.4578112819169,31.1457676588536,34.1288314632263
Interest payments (% of expense),12.4097924216317,12.7770210090638,8.16615778620741,10.826275251487,10.7423456193218,10.2108549201923,10.8933083528074,10.5569763795307,8.84079818780098,10.5562907265262,10.7599575404997,10.4602832254936,11.7494625601457,11.4620492123421,11.2313542971615,11.4662575032832,11.5013305604329,11.5197196718168,11.8719963686336,11.0475613523738,12.5082509286669,11.8915847392962,11.6372139485596,11.7211213848564,12.3679095779792,11.3740495633089,12.9050880497425
Interest payments (% of revenue),11.1562183276143,11.4780910246152,7.52123052899982,10.6083483921544,10.7990968549585,10.7542567499801,11.6053891725106,10.5789407880731,10.1750916713338,10.8901870227751,11.5837976724024,10.7489047332703,11.4293811434453,11.1762764363876,12.6453234770834,12.9572509022916,12.4805016619156,12.9040474019607,13.1489871776625,11.9356659407259,13.6418606814486,12.6984235017971,12.6019416884459,12.886601636078,13.8573728474316,15.3585268178032,13.5069348806752
Interest payments (current LCU),799140000.0,975500000.0,728280000.0,1263920000.0,1528610000.0,1672730000.0,2111170000.0,2191490000.0,2207420000.0,2547120000.0,2868680000.0,3128200000.0,3831300000.0,3961800000.0,4295376770.07,4832235158.1,5349720170.78,5894731859.86,6442650568.0,6429465945.96,7460731516.02,7555291924.97,7850326079.12,8335861032.26,9541118541.67,10176857966.96,11394522480.25
"Interest rate spread (lending rate minus deposit rate, %)",-1.0,-1.0,12.81,11.1208333333334,11.55,10.7108333333334,10.2033333333333,9.9491666666667,10.1958333333333,9.6208333333333,8.68416666666663,8.25916666666667,8.07333333333337,8.31250000000003,8.27250000000003,7.8891666666667,8.18583333333333,8.19333333333337,8.14583333333333,8.2958333333333,7.76166666666667,7.6266666666667,7.6841666666667,7.7508333333333,7.73249999999997,7.89749999999997,8.05
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,6200.0,1200.0,-1.0,-1.0,-1.0,130.0
"Internally displaced persons, new displacement associated with disasters (number of cases)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18000.0,990.0,163000.0,29000.0,64000.0,80.0,10000.0,2900.0,1700.0,45000.0,27000.0,21000.0,339000.0,16000.0
"Internally displaced persons, total displaced by conflict and violence (number of people)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,242000.0,249000.0,251000.0,257000.0,242000.0,242000.0,242000.0,242000.0,242000.0
International migrant stock (% of population),1.50799132674233,-1.0,-1.0,-1.0,-1.0,0.411672509936982,-1.0,-1.0,-1.0,-1.0,0.43426994566316,-1.0,-1.0,-1.0,-1.0,0.450602931892124,-1.0,-1.0,-1.0,-1.0,0.46718767180629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"International migrant stock, total",156188.0,-1.0,-1.0,-1.0,-1.0,48119.0,-1.0,-1.0,-1.0,-1.0,57252.0,-1.0,-1.0,-1.0,-1.0,66384.0,-1.0,-1.0,-1.0,-1.0,76352.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"International tourism, expenditures (% of total imports)",4.48009443073291,4.60438970650547,3.48182772107221,3.76423972263497,4.30587672434415,3.880285991449,4.38349581370112,4.7979743309463,5.10829872410437,4.84064555166496,4.79292233123418,5.15228745830974,5.07876566010171,5.48292918681219,6.13341204485566,5.8758114258595,5.19600671337249,5.17900541785992,5.41493445158445,5.33717139684702,5.45865735896658,5.65743290235651,5.39729068381948,5.21962029231186,5.24003904637393,1.79582144705198,-1.0
"International tourism, expenditures (current US$)",167000000.0,163000000.0,146000000.0,190000000.0,216000000.0,216000000.0,266000000.0,329000000.0,373000000.0,488000000.0,532000000.0,655000000.0,737000000.0,821000000.0,751000000.0,843000000.0,883000000.0,926000000.0,995000000.0,1029000000.0,1020000000.0,1032000000.0,1066000000.0,1105000000.0,1128000000.0,346000000.0,-1.0
"International tourism, expenditures for passenger transport items (current US$)",26000000.0,28000000.0,27000000.0,33000000.0,33000000.0,34000000.0,41000000.0,53000000.0,61000000.0,103000000.0,111000000.0,126000000.0,140000000.0,134000000.0,147000000.0,222000000.0,227000000.0,214000000.0,227000000.0,247000000.0,266000000.0,278000000.0,291000000.0,298000000.0,314000000.0,90000000.0,-1.0
"International tourism, expenditures for travel items (current US$)",141000000.0,135000000.0,119000000.0,157000000.0,183000000.0,182000000.0,225000000.0,276000000.0,312000000.0,385000000.0,421000000.0,529000000.0,597000000.0,687000000.0,604000000.0,621000000.0,656000000.0,712000000.0,768000000.0,782000000.0,754000000.0,754000000.0,775000000.0,807000000.0,814000000.0,256000000.0,-1.0
"International tourism, number of arrivals",563000.0,520000.0,576000.0,636000.0,823000.0,826000.0,835000.0,884000.0,880000.0,1182000.0,1316000.0,1502000.0,1628000.0,1715000.0,1311000.0,1384000.0,1434000.0,1491000.0,1516000.0,1739000.0,1865000.0,1906000.0,2120000.0,2406000.0,2560000.0,594000.0,-1.0
"International tourism, number of departures",333000.0,333000.0,331000.0,391000.0,485000.0,488000.0,580000.0,629000.0,658000.0,854000.0,982000.0,1055000.0,1168000.0,1277000.0,651000.0,694000.0,718000.0,721000.0,846000.0,992000.0,1130000.0,1195000.0,1328000.0,1538000.0,1703000.0,507799.987792969,-1.0
"International tourism, receipts (% of total exports)",7.65035064107105,7.90273556231003,8.45944167684933,9.43558563726052,10.7468176201833,12.8972107839329,15.0654977959455,16.3206529311814,15.6846902449903,10.1522842639594,11.6885611691517,12.0905144059992,12.1063986046085,12.2169324891243,12.889307803375,10.9714906150212,9.31922845171817,9.758324157102,9.9543300359101,9.26189306598113,9.48694293791534,9.70964359703328,9.18896047372452,9.25094836368247,9.02512143586999,2.34799483211765,-1.0
"International tourism, receipts (current US$)",216000000.0,221000000.0,270000000.0,329000000.0,374000000.0,498000000.0,588000000.0,647000000.0,646000000.0,630000000.0,791000000.0,919000000.0,1055000000.0,1098300048.82813,1086300048.82813,1053300048.82813,1077400024.41406,1110000000.0,1160699951.17188,1164400024.41406,1169500000.0,1202699951.17188,1217599975.58594,1235099975.58594,1227199951.17188,298500000.0,-1.0
"International tourism, receipts for passenger transport items (current US$)",3000000.0,5000000.0,4000000.0,15000000.0,18000000.0,16000000.0,26000000.0,27000000.0,25000000.0,-1.0,-1.0,-1.0,-1.0,300000.011920929,300000.011920929,300000.011920929,400000.005960464,-1.0,699999.988079071,400000.005960464,500000.0,1700000.04768372,4599999.90463257,4099999.90463257,6199999.80926514,1500000.0,-1.0
"International tourism, receipts for travel items (current US$)",213000000.0,216000000.0,266000000.0,314000000.0,356000000.0,482000000.0,562000000.0,620000000.0,621000000.0,630000000.0,791000000.0,919000000.0,1055000000.0,1098000000.0,1086000000.0,1053000000.0,1077000000.0,1110000000.0,1160000000.0,1164000000.0,1169000000.0,1201000000.0,1213000000.0,1231000000.0,1221000000.0,297000000.0,-1.0
Investment in energy with private participation (current US$),34800000.0,342000000.0,168300000.0,540400000.0,137700000.0,50000000.0,-1.0,60000000.0,-1.0,-1.0,41600000.0,43500000.0,226800000.0,-1.0,-1.0,758000000.0,24000000.0,450000000.0,523000000.0,376700000.0,127500000.0,-1.0,-1.0,-1.0,56400000.0,-1.0,-1.0
Investment in ICT with private participation (current US$),-1.0,-1.0,-1.0,940000000.0,33300000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Investment in transport with private participation (current US$),-1.0,-1.0,23800000.0,10000000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120000000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Investment in water and sanitation with private participation (current US$),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6700000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",34.237,34.139,34.175,34.277,34.301,34.305,34.191,34.197,34.126,34.127,33.941,33.769,33.614,33.474,33.351,33.242,35.462,39.15,32.005,32.668,31.608,33.543,30.919,32.681,31.858,29.566,30.132
"Labor force participation rate for ages 15-24, female (%) (national estimate)",-1.0,-1.0,-1.0,-1.0,27.48,-1.0,-1.0,-1.0,45.165,34.614,-1.0,41.42,-1.0,-1.0,-1.0,33.378,35.468,39.751,32.495,32.915,31.466,33.812,31.179,33.262,32.327,-1.0,36.49
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",77.4,77.331,76.972,76.484,76.201,75.977,76.008,75.772,75.751,75.606,74.43,73.245,72.05,70.844,69.626,68.395,70.668,76.305,67.305,70.148,72.431,71.106,73.592,71.74,70.563,66.282,66.939
"Labor force participation rate for ages 15-24, male (%) (national estimate)",-1.0,-1.0,-1.0,-1.0,76.78,-1.0,-1.0,-1.0,81.996,76.789,-1.0,79.58,-1.0,-1.0,-1.0,69.128,71.086,77.109,68.434,71.179,72.681,71.898,74.532,73.051,71.71,-1.0,74.843
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",55.682,55.654,55.549,55.411,55.333,55.272,55.274,55.19,55.166,55.107,54.429,53.75,53.069,52.387,51.704,51.02,53.259,57.925,49.839,51.602,52.23,52.517,52.473,52.41,51.409,48.114,48.728
"Labor force participation rate for ages 15-24, total (%) (national estimate)",-1.0,-1.0,-1.0,-1.0,52.55,-1.0,-1.0,-1.0,62.942,55.114,-1.0,59.13,-1.0,-1.0,-1.0,51.03,53.262,57.916,49.842,51.611,52.241,52.516,52.477,52.406,51.414,-1.0,55.012
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",40.266,40.353,40.626,40.985,41.223,41.415,41.505,41.745,41.865,42.078,41.981,41.893,41.814,41.745,41.686,41.637,40.139,45.026,39.727,40.023,38.484,39.568,38.699,38.449,37.154,35.808,36.268
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",-1.0,-1.0,-1.0,-1.0,23.24,45.6,-1.0,47.2,48.314,42.448,-1.0,47.42,-1.0,-1.0,-1.0,41.99,40.266,45.554,40.324,40.568,38.86,40.082,39.199,39.102,37.835,-1.0,43.205
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",41.498,41.586,41.874,42.255,42.506,42.711,42.805,43.06,43.187,43.413,43.324,43.246,43.177,43.118,43.069,43.03,41.967,47.327,41.429,41.563,40.199,41.302,40.299,40.11,38.939,37.529,38.044
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",85.909,85.897,85.814,85.688,85.581,85.492,85.397,85.287,85.198,85.069,84.281,83.479,82.664,81.834,80.99,80.13,83.618,86.118,81.632,82.363,83.701,82.748,84.161,83.517,82.144,79.329,80.465
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",-1.0,-1.0,-1.0,-1.0,73.56,87.9,-1.0,89.4,88.952,85.816,-1.0,88.33,-1.0,-1.0,-1.0,80.815,83.893,87.118,82.852,83.494,84.517,83.817,85.248,84.926,83.655,-1.0,85.567
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",87.003,86.984,86.893,86.762,86.654,86.572,86.487,86.388,86.31,86.188,85.427,84.649,83.853,83.039,82.206,81.352,84.874,87.469,83.325,84.01,85.411,84.476,85.789,85.235,83.952,81.067,82.172
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",62.655,62.678,62.764,62.877,62.94,62.99,62.985,63.051,63.067,63.11,62.673,62.235,61.794,61.351,60.906,60.46,61.4,65.12,60.22,60.73,60.6,60.69,60.94,60.5,59.17,57.104,57.886
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",-1.0,-1.0,-1.0,-1.0,48.37,65.4,-1.0,67.2,67.776,63.112,-1.0,66.15,-1.0,-1.0,-1.0,60.459,61.401,65.118,60.22,60.732,60.596,60.689,60.943,60.503,59.169,-1.0,62.937
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",63.882,63.907,64.003,64.128,64.198,64.256,64.256,64.331,64.35,64.399,63.976,63.551,63.123,62.692,62.258,61.821,63.01,67.02,61.99,62.402,62.404,62.515,62.659,62.298,61.081,58.954,59.765
Labor force with advanced education (% of total working-age population with advanced education),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.877,81.593,-1.0,86.082,-1.0,-1.0,-1.0,87.561,85.821,87.251,85.845,79.639,85.211,82.561,82.1,81.981,81.434,-1.0,84.594
"Labor force with advanced education, female (% of female working-age population with advanced education)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.005,71.441,-1.0,75.268,-1.0,-1.0,-1.0,81.95,74.119,78.081,81.97,70.2,80.923,74.736,74.259,76.508,77.4,-1.0,77.939
"Labor force with advanced education, male (% of male working-age population with advanced education)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,92.338,91.421,-1.0,92.908,-1.0,-1.0,-1.0,92.375,93.262,94.4,89.433,88.114,88.787,89.41,88.654,86.843,85.116,-1.0,90.351
Labor force with basic education (% of total working-age population with basic education),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.24,68.225,-1.0,65.737,-1.0,-1.0,-1.0,61.233,63.863,67.592,58.703,60.796,60.624,61.111,61.612,61.16,59.58,-1.0,62.641
"Labor force with basic education, female (% of female working-age population with basic education)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.536,50.499,-1.0,47.683,-1.0,-1.0,-1.0,39.715,45.25,49.691,38.449,40.347,38.273,40.252,39.071,38.944,37.136,-1.0,41.524
"Labor force with basic education, male (% of male working-age population with basic education)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.614,83.799,-1.0,83.131,-1.0,-1.0,-1.0,79.832,80.534,84.479,76.844,79.427,80.441,80.4,82.456,82.331,80.961,-1.0,83.568
Labor force with intermediate education (% of total working-age population with intermediate education),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.001,76.154,-1.0,80.522,-1.0,-1.0,-1.0,81.026,71.031,80.091,74.672,72.14,76.411,72.499,73.053,73.609,71.624,-1.0,75.974
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.399,70.425,-1.0,70.301,-1.0,-1.0,-1.0,71.219,65.863,71.921,65.832,62.273,65.316,61.162,60.476,61.555,58.426,-1.0,64.34
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.964,80.644,-1.0,92.055,-1.0,-1.0,-1.0,91.268,76.592,86.427,85.825,83.411,88.393,85.162,86.654,86.567,86.443,-1.0,88.339
"Labor force, female (% of total labor force)",32.7428380281631,32.8231562966008,33.0173439823565,33.2617739135805,33.4305477855653,33.5668660663227,33.6476692968392,33.8105910560979,33.9029149597133,34.0558177929014,34.2168773723855,34.3879042123909,34.5705944361275,34.7652657599279,34.9726071831781,35.1912241076265,33.4062663461381,35.3321454930457,33.7087799097922,33.6722421760327,32.4441327238842,33.3050367306073,32.4362239707592,32.4574242100958,32.0646565663797,32.0236475497577,32.0083682323306
"Labor force, total",3566441.0,3666113.0,3772490.0,3885815.0,4000434.0,4118195.0,4234323.0,4358791.0,4484110.0,4617954.0,4720723.0,4825217.0,4931026.0,5037761.0,5145327.0,5253574.0,5486770.0,5980602.0,5682211.0,5883588.0,6022488.0,6184488.0,6364813.0,6472399.0,6481136.0,6403877.0,6642741.0
Labor tax and contributions (% of commercial profits),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,-1.0,-1.0
Land area (sq. km),107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0,107160.0
Land area where elevation is below 5 meters (% of total land area),-1.0,-1.0,-1.0,-1.0,-1.0,0.732624066167141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.73262406616977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Land under cereal production (hectares),608595.0,638183.0,639351.0,692565.0,651413.0,653417.0,635125.0,644491.0,642961.0,637771.0,625533.0,619592.0,723868.0,891456.0,858887.0,859650.0,877053.0,885789.0,900955.0,908503.0,916401.0,922970.0,946308.0,959078.0,888014.0,931253.0,917647.0
"Lead time to export, median case (days)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.58,-1.0,4.0,-1.0,2.0,-1.0,2.0,-1.0,4.0,-1.0,-1.0,-1.0
"Lead time to import, median case (days)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.36,-1.0,4.0,-1.0,2.0,-1.0,3.0,-1.0,5.0,-1.0,-1.0,-1.0
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.5135269165039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.5480728149414,-1.0,-1.0,-1.0,-1.0,-1.0,78.5161895751953,-1.0,-1.0
